PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True,Cabin_encoded
0001_01,B/0/P,0.49367088607594933,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Maham Ofracculy,False,True,False,False,False,True,False,149
0002_01,F/0/S,0.3037974683544304,-0.16807343153112558,-0.27538656847021764,-0.2417707085098513,0.21715824908070328,-0.2242046757208368,Juanna Vines,True,False,False,False,False,True,False,2184
0003_01,A/0/S,0.7341772151898734,-0.26800059707635127,1.9599976497107467,-0.2835786325139853,5.695622892929779,-0.21979574252259557,Altark Susent,False,True,False,False,False,True,True,1
0003_02,A/0/S,0.4177215189873418,-0.33310465947702855,0.523009701213704,0.33685095970736284,2.687176366158295,-0.09281846641324847,Solam Susent,False,True,False,False,False,True,False,1
0004_01,F/1/S,0.20253164556962025,0.12565187325332555,-0.2371588035952418,-0.031058771529016094,0.23137418068978294,-0.26123971458606304,Willy Santantines,True,False,False,False,False,True,False,2186
0005_01,F/0/P,0.5569620253164557,-0.33310465947702855,0.021661965148447117,-0.2835786325139853,-0.012073648115706317,-0.26300328786535954,Sandie Hinetthews,True,False,False,False,True,False,False,2183
0006_01,F/2/S,0.3291139240506329,-0.2695146450391577,0.6834409767545863,-0.2785616816334892,-0.2706259042558427,-0.26300328786535954,Billex Jacostaffey,True,False,False,False,False,True,False,3425
0006_02,G/0/S,0.35443037974683544,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Candra Jacostaffey,True,False,False,True,False,True,False,4559
0007_01,F/3/S,0.4430379746835443,-0.33310465947702855,0.21092073551308163,-0.2551492441911742,-0.07871082753326725,-0.26300328786535954,Andona Beston,True,False,False,False,False,True,False,3565
0008_01,B/1/P,0.17721518987341772,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Erraiam Flatic,True,True,False,True,False,False,False,150
0008_02,B/1/P,0.43037974683544306,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Altardr Flatic,True,True,False,True,False,True,False,150
0008_03,B/1/P,0.569620253164557,-0.27405678892757707,4.29063793774411,0.7014160570234111,-0.17289137444342004,-0.1536617445489773,Wezena Flatic,True,True,False,False,False,False,False,150
0009_01,F/1/P,0.4050632911392405,-0.22257915819215776,-0.2810267305009518,1.5944333137517128,-0.2706259042558427,-0.16336139758510798,Berers Barne,True,False,True,False,False,True,False,2185
0010_01,G/1/S,0.6075949367088608,0.7554958257808085,-0.2804000458308702,-0.17487803010323696,-0.2706259042558427,-0.24184040851380167,Reney Baketton,False,False,False,False,False,True,False,4561
0011_01,F/2/P,0.35443037974683544,-0.32099227577457695,0.3293641381584986,-0.26351082899200096,-0.2688489128047078,-0.25683078138782184,Elle Bertsontry,True,False,False,False,False,True,False,3424
0012_01,G/734/S,0.3924050632911392,-0.2846551246672222,-0.2810267305009518,1.181371024590869,-0.2706259042558427,-0.26300328786535954,Justie Pooles,False,False,False,False,False,True,False,6156
0014_01,F/3/P,0.34177215189873417,1.6139610206920652,-0.2045712007510001,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Flats Eccle,False,False,True,False,False,False,False,3564
0015_01,F/4/P,0.3037974683544304,-0.33310465947702855,-0.2804000458308702,-0.2835786325139853,-0.2706259042558427,0.2986948015905718,Carry Hughriend,False,False,False,False,False,False,False,3696
0016_01,F/5/P,0.569620253164557,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Alus Upead,True,False,True,True,False,True,False,3844
0017_01,G/0/P,0.0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Lyde Brighttt,True,False,False,False,False,True,False,4558
0017_02,F/6/P,0.17721518987341772,0.2906831011992285,-0.2810267305009518,-0.2819063155538199,-0.2706259042558427,0.33572984045579807,Philda Brighttt,False,False,False,False,False,False,False,3988
0020_01,E/0/S,0.012658227848101266,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Almary Brantuarez,False,False,False,True,False,True,False,1407
0020_02,E/0/S,0.620253164556962,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Glendy Brantuarez,False,False,False,True,False,False,False,1407
0020_03,E/0/S,0.3670886075949367,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Mollen Mcfaddennon,False,False,False,True,False,False,False,1407
0020_04,E/0/S,0.12658227848101267,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Breney Jacostanley,True,False,False,False,False,True,False,1407
0020_05,E/0/S,0.012658227848101266,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Mael Brantuarez,False,False,False,True,True,False,False,1407
0020_06,E/0/S,0.08860759493670886,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Terta Mcfaddennon,False,False,False,False,False,True,False,1407
0022_01,D/0/P,0.26582278481012656,1.1506623440732917,-0.27977336116078866,-0.1681887622625755,-0.2706259042558427,-0.26300328786535954,unknown,False,False,True,False,False,True,False,1034
0024_01,C/2/S,0.7848101265822784,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Penton Fullided,True,True,False,True,False,True,False,750
0025_01,F/6/S,0.18987341772151897,-0.33310465947702855,-0.14002267973259824,-0.2835786325139853,0.6160928298605014,-0.26300328786535954,Karard Brookenson,False,False,False,False,False,True,False,3989
0026_01,C/0/P,0.43037974683544306,-0.2997956042952867,3.5248292709044304,-0.2835786325139853,1.007030949110192,0.026222729939264455,Anyoni Unconary,False,True,False,False,False,False,False,598
0028_01,F/8/P,0.5443037974683544,1.370199298680227,-0.2810267305009518,-0.05614352593149648,-0.22797810942860372,-0.26300328786535954,Ceros Mare,False,False,True,False,False,True,False,4268
0030_01,G/4/S,0.4050632911392405,-0.33310465947702855,0.2516552390683838,-0.14812095874059122,0.11764672781714562,0.13644605989529493,Ginia Morsentley,False,False,False,False,False,True,False,5660
0031_01,F/9/P,0.5949367088607594,-0.009098395436448421,-0.2810267305009518,2.076060598279336,-0.2706259042558427,0.8207124922623321,Coobix Datie,True,False,True,False,False,True,False,4406
0031_02,F/9/P,0.02531645569620253,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Cinets Datie,True,False,True,False,False,True,False,4406
0031_03,F/9/P,0.25316455696202533,-0.33310465947702855,-0.2810267305009518,2.6429760477753925,0.6089848640559615,-0.26300328786535954,Dontch Datie,True,False,True,False,False,True,False,4406
0034_01,D/1/S,0.35443037974683544,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Ziba Oingwhedly,True,True,False,True,False,False,False,1036
0035_01,D/1/P,0.2911392405063291,0.8539089433632278,0.32309729145768284,-0.2835786325139853,0.5743335307588299,-0.26300328786535954,Luse Butte,False,False,True,False,False,False,False,1035
0036_01,F/8/S,0.18987341772151897,-0.33310465947702855,0.027302127179181256,-0.20330741842604805,-0.25285598974449314,0.09059315463358625,Marina Leodger,False,False,False,False,False,False,False,4269
0038_01,F/10/S,0.25316455696202533,0.5056779119177444,-0.15882321983504538,-0.2835786325139853,2.0447939565730078,-0.26300328786535954,Loise Wheelez,False,False,False,False,False,False,False,2188
0039_01,G/1/P,0.37974683544303794,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Jorgie Batthewitt,False,False,False,True,False,False,False,4560
0041_01,G/2/P,0.21518987341772153,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Margia Moodsey,True,False,False,True,False,True,False,5362
0043_01,B/3/P,0.569620253164557,-0.33310465947702855,-0.1782504446075741,-0.20832436930654413,1.9603868626440972,0.49092428903388896,Ankalik Cylistrand,False,True,False,False,False,True,False,461
0044_01,G/3/P,0.6962025316455696,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Jodye Coopelandez,False,False,False,True,False,True,False,5513
0044_02,G/3/P,0.05063291139240506,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Kayne Coopelandez,True,False,False,True,False,False,False,5513
0044_03,G/3/P,0.26582278481012656,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,Cassa Coopelandez,True,False,False,True,True,False,False,5513
